Sistema de Cadastramento e Acompanhamento de Hipertensos e Diabéticos - São Paulo
HipertensãoDiabetes Tipo 1Diabetes Tipo 2Hiper c/ Diabete por Macrorreg de Saúde/Município
Período:Jan/2002-Abr/2013
"Macrorreg de Saúde/Município";"Hipertensão";"Diabetes_Tipo_1";"Diabetes_Tipo_2";"Hiper_c/_Diabete"
".....  AMERICANA";2600;133;376;1892
".....  JAGUARIUNA";951;20;87;614
".....  TAMBAU";1084;25;56;376
".....  ITATIBA";13230;116;1043;3991
".....  ITOBI";185;13;30;157
".....  SAO SEBASTIAO DA GRAMA";1024;28;34;269
".....  HOLAMBRA";6;-;-;2
".....  SANTO ANTONIO DO JARDIM";247;9;24;157
".....  VALINHOS";1092;2;43;478
".....  VINHEDO";1104;6;41;467
".....  NOVA ODESSA";614;44;57;433
".....  CAMPINAS";5334;70;265;2986
".....  ESTIVA GERBI";386;15;46;329
".....  VARGEM GRANDE DO SUL";2212;66;153;962
".....  AGUAS DA PRATA";611;42;56;513
".....  ESPIRITO SANTO DO PINHAL";1608;41;205;1145
".....  MOGI MIRIM";5964;218;462;2822
".....  MORUNGABA";242;11;28;173
".....  SANTA CRUZ DAS PALMEIRAS";1687;12;78;787
".....  SUMARE";3173;43;186;1717
".....  MONTE ALEGRE DO SUL";369;1;14;167
".....  LINDOIA";183;-;8;58
".....  ITAPIRA";2484;112;241;1760
".....  SERRA NEGRA";-;3;-;44
".....  SAO JOSE DO RIO PARDO";2545;48;146;1010
".....  MONTE MOR";2342;44;60;1116
".....  AGUAS DE LINDOIA";40;-;1;16
"3529 RRAS14";46587;1439;3778;21334
".....  ARARAS";4188;122;356;2049
".....  ENGENHEIRO COELHO";404;3;11;191
".....  RIO CLARO";6366;230;549;2784
".....  CORDEIROPOLIS";211;6;44;143
".....  CAPIVARI";3682;171;170;1242
".....  ITIRAPINA";1691;30;151;492
".....  PIRASSUNUNGA";1643;30;141;696
".....  ELIAS FAUSTO";2128;24;85;661
".....  IRACEMAPOLIS";1256;15;133;916
".....  ANALANDIA";557;23;36;124
".....  LIMEIRA";7028;235;549;3810
".....  LEME";3926;227;524;2031
".....  CHARQUEADA";431;4;40;148
".....  SANTA MARIA DA SERRA";412;13;48;186
".....  CONCHAL";1561;34;103;521
".....  RIO DAS PEDRAS";1034;29;89;541
".....  RAFARD";460;21;40;263
".....  SALTINHO";834;6;85;231
".....  SANTA CRUZ DA CONCEICAO";356;10;29;125
".....  SAO PEDRO";818;56;149;945
".....  AGUAS DE SAO PEDRO";28;3;13;25
".....  IPEUNA";494;7;29;174
".....  SANTA GERTRUDES";1571;31;88;671
".....  CORUMBATAI";323;10;27;175
".....  MOMBUCA";458;19;5;121
".....  PIRACICABA";4727;80;284;2069
"3530 RRAS13";116168;2967;7167;47098
".....  ITUVERAVA";3736;63;199;1547
".....  IBATE";2095;44;141;726
".....  SANTA RITA DO PASSA QUATRO";135;31;48;286
".....  BORBOREMA";2051;24;115;578
".....  ITIRAPUA";685;13;17;205
".....  COLOMBIA";546;50;9;132
".....  BARRINHA";1339;31;52;624
".....  DESCALVADO";1395;39;54;602
".....  MONTE ALTO";2769;43;115;1251
".....  MORRO AGUDO";1949;53;82;611
".....  RIFAINA";440;8;10;122
".....  PEDREGULHO";1459;43;62;358
".....  MIGUELOPOLIS";416;26;48;292
".....  JABOTICABAL";1606;63;239;1075
".....  PRADOPOLIS";1028;6;76;366
".....  SALES OLIVEIRA";1398;6;65;347
".....  ALTINOPOLIS";1761;7;45;428
".....  BOA ESPERANCA DO SUL";1551;39;144;469
".....  IBITINGA";1825;179;128;845
".....  BARRETOS";910;17;60;560
".....  ITAPOLIS";1128;43;131;620
".....  RIBEIRAO CORRENTE";83;2;-;28
".....  GAVIAO PEIXOTO";626;6;50;234
".....  SAO JOSE DA BELA VISTA";213;2;5;68
".....  CAJOBI";1068;7;54;207
".....  PATROCINIO PAULISTA";451;2;9;115
".....  NUPORANGA";233;4;13;85
".....  OLIMPIA";2527;109;137;1051
".....  SANTA LUCIA";550;15;39;227
".....  SANTA ERNESTINA";386;3;25;135
".....  RESTINGA";431;7;4;130
".....  RIBEIRAO BONITO";893;20;51;408
".....  VIRADOURO";196;1;1;81
".....  TAIACU";339;6;9;89
".....  SAO SIMAO";551;6;43;213
".....  BATATAIS";2805;41;95;1115
".....  ORLANDIA";1249;67;85;705
".....  ARARAQUARA";9347;142;687;3463
".....  NOVA EUROPA";1347;29;60;453
".....  MOTUCA";391;10;20;126
".....  RIBEIRAO PRETO";8227;243;592;4787
".....  RINCAO";408;8;30;166
".....  PORTO FERREIRA";2108;96;231;1023
".....  PONTAL";3795;88;103;1354
".....  BURITIZAL";480;8;22;98
".....  AMERICO BRASILIENSE";1850;54;65;582
".....  ARAMINA";790;17;33;207
".....  DOURADO";1081;21;49;282
".....  VISTA ALEGRE DO ALTO";469;2;11;97
".....  JERIQUARA";273;1;7;48
".....  TAQUARITINGA";5323;33;118;1190
".....  SERRANA";241;1;12;102
".....  SERTAOZINHO";1178;17;87;893
".....  IPUA";2792;43;112;935
".....  TERRA ROXA";487;29;11;152
".....  SEVERINIA";2631;97;24;527
".....  GUARIBA";2767;23;128;645
".....  GUARA";1870;25;40;377
".....  SAO JOAQUIM DA BARRA";232;3;11;100
".....  SAO CARLOS";7117;296;855;4285
".....  MATAO";2052;87;431;1741
".....  JABORANDI";527;5;24;152
".....  PITANGUEIRAS";2948;69;144;1141
".....  FRANCA";101;32;83;397
".....  DOBRADA";524;5;31;208
".....  CRISTAIS PAULISTA";589;7;8;117
".....  MONTE AZUL PAULISTA";1747;11;37;582
".....  TABATINGA";1100;14;54;305
".....  CANDIDO RODRIGUES";436;3;3;89
".....  BRODOWSKI";1878;31;57;504
".....  BEBEDOURO";2775;220;337;1751
".....  IGARAPAVA";1562;19;60;654
".....  GUAIRA";1758;51;124;566
".....  TRABIJU";144;1;6;64
"3531 RRAS12";159794;3100;9252;52237
".....  CATANDUVA";5839;100;367;2498
".....  SUD MENNUCCI";1116;20;67;211
".....  EMBAUBA";292;6;11;77
".....  MIRASSOL";1908;38;56;526
".....  NOVA ALIANCA";642;11;22;228
".....  NOVA INDEPENDENCIA";222;-;3;67
".....  RUBIACEA";451;5;27;89
".....  SANTA RITA D'OESTE";318;8;6;77
".....  SUZANAPOLIS";652;13;14;137
".....  TRES FRONTEIRAS";129;2;5;66
".....  UBARANA";207;7;23;98
".....  MACEDONIA";289;2;1;95
".....  MAGDA";282;-;22;116
".....  MIRA ESTRELA";216;-;10;60
".....  LAVINIA";510;11;20;183
".....  VALPARAISO";980;7;5;263
".....  JACI";609;9;40;163
".....  TURIUBA";410;-;13;66
".....  INDIAPORA";1349;16;58;234
".....  POTIRENDABA";2005;46;80;677
".....  PIRANGI";25;-;2;17
".....  AVANHANDAVA";572;7;25;181
".....  ASPASIA";82;1;2;34
".....  ITAPURA";372;6;12;156
".....  PALMARES PAULISTA";728;9;31;171
".....  NOVO HORIZONTE";4742;85;355;1257
".....  TURMALINA";155;4;18;47
".....  UNIAO PAULISTA";146;4;3;40
".....  CASTILHO";739;4;34;220
".....  NOVA CASTILHO";31;-;-;6
".....  MONTE APRAZIVEL";839;11;11;321
".....  MIRASSOLANDIA";267;3;9;60
".....  LOURDES";304;10;16;72
".....  SANTO ANTONIO DO ARACANGUA";625;24;24;282
".....  SANTA ALBERTINA";180;3;15;89
".....  ANDRADINA";3628;93;386;1573
".....  SANTOPOLIS DO AGUAPEI";217;3;9;78
".....  SANTA ADELIA";277;13;44;238
".....  GUAPIACU";826;27;65;353
".....  PALMEIRA D'OESTE";14;19;120;472
".....  NOVAIS";139;1;2;22
".....  ALVARES FLORENCE";559;22;35;223
".....  FERNANDOPOLIS";6759;75;312;2074
".....  FLOREAL";185;6;7;59
".....  SANTANA DA PONTE PENSA";449;7;23;76
".....  BURITAMA";1474;33;89;693
".....  CEDRAL";783;46;40;281
".....  GUARARAPES";1741;48;105;594
".....  GABRIEL MONTEIRO";508;5;30;77
".....  PEDRANOPOLIS";623;5;37;98
".....  PEREIRA BARRETO";809;29;52;285
".....  PARISI";16;-;1;3
".....  PALESTINA";1168;21;94;325
".....  SALES";499;25;46;97
".....  URANIA";166;-;5;86
".....  ESTRELA D'OESTE";833;17;49;238
".....  MURUTINGA DO SUL";678;11;43;110
".....  NEVES PAULISTA";704;21;17;240
".....  NIPOA";348;3;15;134
".....  PONTALINDA";211;3;5;42
".....  TANABI";3679;55;133;1245
".....  JOSE BONIFACIO";2661;86;261;1120
".....  ILHA SOLTEIRA";996;29;110;465
".....  PARAISO";690;5;45;167
".....  RUBINEIA";290;6;20;104
".....  PINDORAMA";1529;50;81;569
".....  VALENTIM GENTIL";227;2;4;77
".....  ZACARIAS";238;10;9;55
".....  MARINOPOLIS";307;13;27;116
".....  ELISIARIO";196;3;5;71
